stopping_method,dataset,simulation,sim_key,ranker,records_seen,records_total,proportion_screened,never_stopped,achieved_recall,target_recall,confidence_level,overshot_target,cost_of_overshoot (prop),stopped_at_final_batch,stopped_at_target_recall_batch
ALISON,synergy-Bos_2018,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_1-5000-b697a000de474533bb491f638ece2405a0c389d5,SVMRanker,5300,5746,0.9223807866341803,False,1.0,0.95,0.8,True,0.0,False,True
ALISON,synergy-Bos_2018,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_1-5000-b697a000de474533bb491f638ece2405a0c389d5,SVMRanker,5746,5746,1.0,True,1.0,0.95,0.95,False,0.0,False,False
ALISON,synergy-Bos_2018,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_1-5000-b697a000de474533bb491f638ece2405a0c389d5,SVMRanker,5300,5746,0.9223807866341803,False,1.0,0.99,0.8,True,0.0,False,True
ALISON,synergy-Bos_2018,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_1-5000-b697a000de474533bb491f638ece2405a0c389d5,SVMRanker,5746,5746,1.0,True,1.0,0.99,0.95,False,0.0,False,False
ALISON,synergy-Cohen_2006_Antihistamines,1,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-abc01d688811c4d5fa448116b64a3d48cbb5ed64,RegressionRanker,310,310,1.0,False,1.0,0.8,0.8,True,0.03225806451612903,True,False
ALISON,synergy-Cohen_2006_Antihistamines,1,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-abc01d688811c4d5fa448116b64a3d48cbb5ed64,RegressionRanker,310,310,1.0,True,1.0,0.8,0.95,False,0.0,False,False
ALISON,synergy-Cohen_2006_Antihistamines,1,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-abc01d688811c4d5fa448116b64a3d48cbb5ed64,RegressionRanker,310,310,1.0,True,1.0,0.9,0.8,False,0.0,False,False
ALISON,synergy-Cohen_2006_Antihistamines,1,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-abc01d688811c4d5fa448116b64a3d48cbb5ed64,RegressionRanker,310,310,1.0,True,1.0,0.9,0.95,False,0.0,False,False
ALISON,synergy-Cohen_2006_Antihistamines,1,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-abc01d688811c4d5fa448116b64a3d48cbb5ed64,RegressionRanker,310,310,1.0,True,1.0,0.95,0.8,False,0.0,False,False
ALISON,synergy-Cohen_2006_Antihistamines,1,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-abc01d688811c4d5fa448116b64a3d48cbb5ed64,RegressionRanker,310,310,1.0,True,1.0,0.95,0.95,False,0.0,False,False
